,Row ID,Order ID,Order Date,Contact Name,Country,City,Customer,Industry,Segment,Product,Sales,Quantity,Discount,Profit,Order Month,Order Month Name,Order Year
0,1,EMEA-2022-152156,2022-11-09,Nathan Bell,Ireland,Dublin,Chevron,Energy,SMB,Marketing Suite,261.96,2,0.0,41.9136,11,November,2022
1,2,EMEA-2022-152156,2022-11-09,Nathan Bell,Ireland,Dublin,Chevron,Energy,SMB,FinanceHub,731.94,3,0.0,219.582,11,November,2022
2,3,AMER-2022-138688,2022-06-13,Deirdre Bailey,United States,New York City,Phillips 66,Energy,Strategic,FinanceHub,14.62,2,0.0,6.8714,6,June,2022
3,4,EMEA-2021-108966,2021-10-11,Zoe Hodges,Germany,Stuttgart,Royal Dutch Shell,Energy,SMB,ContactMatcher,957.5775,5,0.45,-383.031,10,October,2021
4,5,EMEA-2021-108966,2021-10-11,Zoe Hodges,Germany,Stuttgart,Royal Dutch Shell,Energy,SMB,Marketing Suite - Gold,22.368,2,0.2,2.5164,10,October,2021
5,6,AMER-2020-115812,2020-06-09,Thomas Hodges,United States,New York City,BNP Paribas,Finance,SMB,SaaS Connector Pack,48.86,7,0.0,14.1694,6,June,2020
6,7,AMER-2020-115812,2020-06-09,Thomas Hodges,United States,New York City,BNP Paribas,Finance,SMB,ChatBot Plugin,7.28,4,0.0,1.9656,6,June,2020
7,8,AMER-2020-115812,2020-06-09,Thomas Hodges,United States,New York City,BNP Paribas,Finance,SMB,Site Analytics,907.152,6,0.2,90.7152,6,June,2020
8,9,AMER-2020-115812,2020-06-09,Thomas Hodges,United States,New York City,BNP Paribas,Finance,SMB,ContactMatcher,18.504,3,0.2,5.7825,6,June,2020
9,10,AMER-2020-115812,2020-06-09,Thomas Hodges,United States,New York City,BNP Paribas,Finance,SMB,OneView,114.9,5,0.0,34.47,6,June,2020
10,11,AMER-2020-115812,2020-06-09,Thomas Hodges,United States,New York City,BNP Paribas,Finance,SMB,ContactMatcher,1706.184,9,0.2,85.3092,6,June,2020
11,12,AMER-2020-115812,2020-06-09,Thomas Hodges,United States,New York City,BNP Paribas,Finance,SMB,Site Analytics,911.424,4,0.2,68.3568,6,June,2020
12,13,EMEA-2023-114412,2023-04-16,Adrian Hunter,Sweden,Stockholm,Engie,Energy,SMB,Support,15.552,3,0.2,5.4432,4,April,2023
13,14,AMER-2022-161389,2022-12-06,Adrian Abraham,Canada,Toronto,Microsoft,Tech,SMB,ContactMatcher,407.976,3,0.2,132.5922,12,December,2022
14,15,APJ-2021-118983,2021-11-22,Emily Morrison,Japan,Saitama,Pfizer,Healthcare,Enterprise,OneView,68.81,5,0.8,-123.858,11,November,2021
15,16,APJ-2021-118983,2021-11-22,Emily Morrison,Japan,Saitama,Pfizer,Healthcare,Enterprise,ContactMatcher,2.544,3,0.8,-3.816,11,November,2021
16,17,EMEA-2020-105893,2020-11-11,Claire Welch,Italy,Naples,Toyota Motor,Manufacturing,SMB,Marketing Suite - Gold,665.88,6,0.0,13.3176,11,November,2020
17,18,EMEA-2020-167164,2020-05-13,Carol Campbell,Turkey,Ankara,Home Depot,Retail,SMB,Marketing Suite - Gold,55.5,2,0.0,9.99,5,May,2020
18,19,AMER-2020-143336,2020-08-27,Blake Hughes,United States,Los Angeles,Wells Fargo,Finance,SMB,ChatBot Plugin,8.56,2,0.0,2.4824,8,August,2020
19,20,AMER-2020-143336,2020-08-27,Blake Hughes,United States,Los Angeles,Wells Fargo,Finance,SMB,Site Analytics,213.48,3,0.2,16.011,8,August,2020
20,21,AMER-2020-143336,2020-08-27,Blake Hughes,United States,Los Angeles,Wells Fargo,Finance,SMB,ContactMatcher,22.72,4,0.2,7.384,8,August,2020
21,22,AMER-2022-137330,2022-12-10,Melanie Sharp,Costa Rica,San José,Carrefour,Retail,Strategic,ChatBot Plugin,19.46,7,0.0,5.0596,12,December,2022
22,23,AMER-2022-137330,2022-12-10,Melanie Sharp,Costa Rica,San José,Carrefour,Retail,Strategic,OneView,60.34,7,0.0,15.6884,12,December,2022
23,24,EMEA-2023-156909,2023-07-17,Luke Bower,France,Paris,Costco Wholesale,Retail,SMB,FinanceHub,71.372,2,0.3,-1.0196,7,July,2023
24,25,EMEA-2021-106320,2021-09-25,Jonathan Ferguson,Turkey,Istanbul,McKesson,Consumer Products,SMB,ContactMatcher,1044.63,3,0.0,240.2649,9,September,2021
25,26,AMER-2022-121755,2022-01-16,Sam Parsons,United States,New York City,Siemens,Manufacturing,SMB,ContactMatcher,11.648,2,0.2,4.2224,1,January,2022
26,27,AMER-2022-121755,2022-01-16,Sam Parsons,United States,New York City,Siemens,Manufacturing,SMB,Data Smasher,90.57,3,0.0,11.7741,1,January,2022
27,28,EMEA-2021-150630,2021-09-17,Neil Gill,France,Paris,Intel,Tech,SMB,Marketing Suite,3083.43,7,0.5,-1665.0522,9,September,2021
28,29,EMEA-2021-150630,2021-09-17,Neil Gill,France,Paris,Intel,Tech,SMB,ContactMatcher,9.618,2,0.7,-7.0532,9,September,2021
29,30,EMEA-2021-150630,2021-09-17,Neil Gill,France,Paris,Intel,Tech,SMB,SaaS Connector Pack,124.2,3,0.2,15.525,9,September,2021
30,31,EMEA-2021-150630,2021-09-17,Neil Gill,France,Paris,Intel,Tech,SMB,SaaS Connector Pack - Gold,3.264,2,0.2,1.1016,9,September,2021
31,32,EMEA-2021-150630,2021-09-17,Neil Gill,France,Paris,Intel,Tech,SMB,ChatBot Plugin,86.304,6,0.2,9.7092,9,September,2021
32,33,EMEA-2021-150630,2021-09-17,Neil Gill,France,Paris,Intel,Tech,SMB,ContactMatcher,6.858,6,0.7,-5.715,9,September,2021
33,34,EMEA-2021-150630,2021-09-17,Neil Gill,France,Paris,Intel,Tech,SMB,ChatBot Plugin,15.76,2,0.2,3.546,9,September,2021
34,35,APJ-2023-107727,2023-10-20,Amelia Campbell,Japan,Tokyo,Glencore,Misc,Enterprise,Support,29.472,3,0.2,9.9468,10,October,2023
35,36,APJ-2022-117590,2022-12-09,Chloe Short,Japan,Aichi,Procter & Gamble,Consumer Products,Strategic,Site Analytics,1097.544,7,0.2,123.4737,12,December,2022
36,37,APJ-2022-117590,2022-12-09,Chloe Short,Japan,Aichi,Procter & Gamble,Consumer Products,Strategic,SaaS Connector Pack,190.92,5,0.6,-147.963,12,December,2022
37,38,APJ-2021-117415,2021-12-27,Jasmine Metcalfe,Japan,Tokyo,Banco Santander,Finance,Enterprise,SaaS Connector Pack - Gold,113.328,9,0.2,35.415,12,December,2021
38,39,APJ-2021-117415,2021-12-27,Jasmine Metcalfe,Japan,Tokyo,Banco Santander,Finance,Enterprise,Marketing Suite,532.3992,3,0.32,-46.9764,12,December,2021
39,40,APJ-2021-117415,2021-12-27,Jasmine Metcalfe,Japan,Tokyo,Banco Santander,Finance,Enterprise,FinanceHub,212.058,3,0.3,-15.147,12,December,2021
40,41,APJ-2021-117415,2021-12-27,Jasmine Metcalfe,Japan,Tokyo,Banco Santander,Finance,Enterprise,Site Analytics,371.168,4,0.2,41.7564,12,December,2021
41,42,APJ-2023-120999,2023-09-11,Karen Mathis,Australia,Wollongong,Pemex,Energy,Strategic,Site Analytics,147.168,4,0.2,16.5564,9,September,2023
42,43,AMER-2022-101343,2022-07-18,Dylan Dickens,United States,New York City,Siemens,Manufacturing,Strategic,Marketing Suite - Gold,77.88,2,0.0,3.894,7,July,2022
43,44,EMEA-2023-139619,2023-09-20,Sophie Lewis,Germany,Hanover,Samsung Electronics,Tech,Strategic,Marketing Suite - Gold,95.616,2,0.2,9.5616,9,September,2023
44,45,EMEA-2022-118255,2022-03-12,Gavin Mitchell,Luxembourg,Luxembourg,Sony,Tech,Strategic,Data Smasher,45.98,2,0.0,19.7714,3,March,2022
